                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.81991,                 1.8783,                0.74025,                 1.0092,                0.89128,                0.82819,                0.89026,                0.73382,                0.86059,                0.78335,                0.83646,                0.58198,                0.74139,                 1.7127,                 0.5538,                0.92882,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.81651,                 1.8569,                0.70939,                0.99612,                0.88779,                0.82904,                0.89034,                0.73519,                0.87085,                0.77576,                0.83424,                 0.5814,                0.74215,                 1.7107,                0.55374,                 0.9288,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                 0.8426,                 1.9226,                0.73173,                 1.0041,                0.89055,                0.82689,                0.89135,                0.73572,                0.86796,                0.77618,                0.83293,                0.57986,                0.74235,                 1.7089,                0.55448,                0.92912,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.80521,                 1.8216,                0.75144,                 1.0241,                0.88518,                0.83158,                  0.892,                0.73556,                0.85606,                 0.7811,                0.83452,                0.58238,                0.74234,                 1.7052,                0.55685,                0.92855,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.80464,                 1.8645,                 0.7219,                0.99189,                0.89164,                0.83037,                0.89356,                0.73862,                0.84515,                0.78901,                 0.8358,                 0.5805,                0.74057,                  1.703,                0.55555,                0.92758,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.81341,                 1.8867,                0.71579,                0.99276,                0.89894,                0.82913,                0.89736,                0.74233,                0.87921,                0.76831,                0.83661,                 0.5807,                0.73701,                 1.6994,                0.55341,                0.92671,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.83653,                 1.9308,                0.73394,                  1.002,                0.91064,                0.81998,                0.89809,                0.74596,                0.88146,                0.76867,                0.83538,                0.58283,                0.73439,                 1.6966,                0.55232,                0.92606,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.79865,                 1.8235,                0.68627,                0.97986,                0.90246,                0.82507,                0.89779,                0.74582,                0.88539,                 0.7716,                0.84066,                0.58433,                0.73268,                  1.696,                0.55206,                0.92592,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                0.80187,                 1.8285,                0.70232,                  1.001,                0.90329,                0.82528,                0.89787,                0.74537,                0.89465,                0.76756,                 0.8431,                0.58701,                0.73075,                 1.6971,                0.55175,                0.92543,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                0.81119,                 1.8614,                0.69324,                0.99202,                0.90749,                0.82244,                0.89722,                0.74485,                0.88641,                0.76881,                0.84102,                0.58514,                0.72976,                 1.6967,                0.55121,                0.92521,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                0.85031,                 1.9495,                0.74023,                 1.0042,                0.90604,                0.82674,                0.89917,                0.74642,                 0.8944,                0.76816,                0.84074,                0.58747,                0.72909,                  1.696,                0.54845,                0.92507,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.82879,                 1.8924,                0.72277,                 1.0137,                0.90474,                0.82744,                 0.8983,                0.74713,                0.87616,                0.77861,                0.84101,                0.58732,                0.72705,                 1.6918,                0.54758,                0.92385,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                0.83266,                 1.8957,                0.74096,                      1,                0.90842,                0.82782,                 0.8983,                0.74672,                0.87397,                0.78242,                0.84199,                0.58622,                0.72604,                 1.6886,                0.54577,                0.92276,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                0.84526,                 1.9082,                0.72701,                0.98546,                 0.9105,                 0.8283,                 0.8988,                0.74541,                0.87718,                 0.7841,                0.84386,                0.58846,                0.72606,                 1.6885,                0.54583,                0.92239,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                0.85283,                 1.9694,                 0.7423,                 1.0049,                0.90856,                 0.8282,                0.89869,                0.74489,                0.87475,                0.78784,                0.84456,                0.58871,                0.72586,                 1.6877,                0.54519,                0.92196,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                0.78956,                 1.8125,                0.71831,                0.98012,                0.91093,                0.82383,                0.89831,                0.74239,                0.87353,                0.78576,                0.84527,                0.58967,                 0.7259,                  1.686,                0.54411,                0.92129,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.83469,                 1.9201,                0.71087,                0.99835,                0.90529,                0.82632,                0.89897,                0.74453,                0.87247,                0.78848,                0.84779,                0.59019,                0.72435,                 1.6835,                0.54152,                0.92071,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                0.81558,                 1.8339,                  0.706,                  1.005,                0.90134,                0.83032,                0.89812,                0.74402,                 0.8679,                0.79308,                0.84669,                0.59042,                0.72285,                 1.6825,                0.54101,                0.91983,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.94652,                 2.0756,                0.90084,                 1.0464,                0.89233,                0.83211,                0.89678,                0.73965,                0.86569,                0.79405,                0.85126,                0.58786,                0.72991,                 1.6922,                0.54988,                0.92084,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.91731,                 2.0103,                0.82842,                 1.0255,                0.90511,                0.81873,                0.89562,                0.73655,                0.87021,                0.78531,                0.84641,                0.58417,                0.73777,                 1.7047,                0.55778,                0.92245,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                0.90625,                 2.0057,                0.80266,                 1.0233,                0.88925,                0.81847,                0.89402,                0.73429,                0.87006,                0.78297,                0.84347,                0.58048,                0.74519,                 1.7177,                0.56373,                0.92456,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                0.90861,                 2.0356,                0.80777,                 1.0111,                0.88603,                0.81791,                0.89127,                0.73055,                0.87152,                0.77454,                0.83913,                0.57301,                0.75356,                 1.7341,                0.57168,                 0.9267,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.91244,                 2.0416,                0.81812,                 1.0246,                0.88064,                0.81479,                0.88737,                0.72631,                0.86519,                0.77148,                 0.8363,                0.56813,                0.75907,                 1.7448,                0.57723,                0.92835,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                0.87789,                  1.983,                0.75383,                  1.022,                0.87778,                0.81628,                0.88622,                0.72437,                0.86779,                0.76504,                0.83179,                0.56873,                0.76192,                 1.7508,                0.58117,                0.92954,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.90514,                 2.0589,                0.81175,                 1.0106,                 0.8818,                0.81421,                0.88597,                0.71919,                0.87007,                0.76384,                0.83192,                 0.5664,                0.76931,                 1.7679,                0.58815,                0.93254,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.85577,                 1.9245,                0.73329,                  1.012,                 0.8844,                0.81289,                0.88405,                0.71803,                0.86818,                0.76312,                0.83124,                0.56494,                0.76942,                 1.7665,                0.58907,                0.93301,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                0.83472,                 1.9709,                0.74304,                 0.9948,                0.88689,                0.81043,                0.88393,                0.71454,                0.86443,                0.76784,                0.83029,                0.56349,                0.77152,                 1.7696,                0.59199,                0.93417,             4.7243e-06,             4.7243e-06,             4.7243e-06
